_time,_value
2023-12-17T02:55:44.916157533Z,89
2023-12-17T02:55:55.23206882Z,85
2023-12-17T02:56:05.535431156Z,84
2023-12-17T02:56:15.845096421Z,92
2023-12-17T02:56:26.178110667Z,83
2023-12-17T02:56:36.478620318Z,46
2023-12-17T02:56:46.584331731Z,73
2023-12-17T02:56:56.892422505Z,69
2023-12-17T02:57:07.1956694Z,70
2023-12-17T02:57:17.518695038Z,91
2023-12-17T02:57:27.831242364Z,106
2023-12-17T02:57:38.180303609Z,100
2023-12-17T02:57:48.54578201Z,74
2023-12-17T02:57:58.903161125Z,73
2023-12-17T02:58:09.268667757Z,61
2023-12-17T02:58:19.583465006Z,87
2023-12-17T02:58:29.917941001Z,71
2023-12-17T02:58:40.226688844Z,50
2023-12-17T02:58:50.554910389Z,81
2023-12-17T02:59:00.855377789Z,90
2023-12-17T02:59:11.182543163Z,77
2023-12-17T02:59:21.509817378Z,67
2023-12-17T02:59:31.849108854Z,78
2023-12-17T02:59:41.970618865Z,85
2023-12-17T02:59:52.297829885Z,47
2023-12-17T03:00:02.619880247Z,56
2023-12-17T03:00:12.956393009Z,68
2023-12-17T03:00:23.262035058Z,63
2023-12-17T03:00:33.574959806Z,39
2023-12-17T03:00:43.712251335Z,59
2023-12-17T03:00:53.867567675Z,19
2023-12-17T03:01:04.205782462Z,93
2023-12-17T03:01:14.527039581Z,98
2023-12-17T03:01:24.847915569Z,76
2023-12-17T03:01:35.042044154Z,76
2023-12-17T03:01:45.172125261Z,75
2023-12-17T03:01:55.492828944Z,94
2023-12-17T03:02:05.855686281Z,73
2023-12-17T03:02:16.170803354Z,72
2023-12-17T03:02:26.486502861Z,72
2023-12-17T03:02:36.86533199Z,78
2023-12-17T03:02:47.184605998Z,84
2023-12-17T03:02:57.502980077Z,71
2023-12-17T03:03:07.873617352Z,78
2023-12-17T03:03:18.18394157Z,90
2023-12-17T03:03:28.34412057Z,68
2023-12-17T03:03:38.648404177Z,20
2023-12-17T03:03:48.965042446Z,19
2023-12-17T03:03:59.078924505Z,27
2023-12-17T03:04:09.377572034Z,33
2023-12-17T03:04:19.546817898Z,12
2023-12-17T03:04:29.886078847Z,34
2023-12-17T03:04:40.222388513Z,21
2023-12-17T03:04:50.546142343Z,23
2023-12-17T03:05:00.636554489Z,39
2023-12-17T03:05:10.9683619Z,59
2023-12-17T03:05:21.087509595Z,40
2023-12-17T03:05:31.382061885Z,32
2023-12-17T03:05:41.692435203Z,37
2023-12-17T03:05:52.060490482Z,32
2023-12-17T03:06:02.368637615Z,32
2023-12-17T03:06:12.722130991Z,45
2023-12-17T03:06:23.047927522Z,36
2023-12-17T03:06:33.381864792Z,23
2023-12-17T03:06:43.72011473Z,40
2023-12-17T03:06:53.831014657Z,34
2023-12-17T03:07:03.932616649Z,70
2023-12-17T03:07:14.223849797Z,32
2023-12-17T03:07:24.542884293Z,31
2023-12-17T03:07:34.854638942Z,38
2023-12-17T03:07:45.19512331Z,33
2023-12-17T03:07:55.330992492Z,36
2023-12-17T03:08:05.632709108Z,37
2023-12-17T03:08:15.976086135Z,26
2023-12-17T03:08:26.302405842Z,70
2023-12-17T03:08:36.439973446Z,50
2023-12-17T03:08:46.565433386Z,38
2023-12-17T03:08:56.719708953Z,47
2023-12-17T03:09:06.866084827Z,50
2023-12-17T03:09:17.213700229Z,27
2023-12-17T03:09:27.51761018Z,57
2023-12-17T03:09:37.694569092Z,63
2023-12-17T03:09:48.000881182Z,37
2023-12-17T03:09:58.195667279Z,38
2023-12-17T03:10:08.51121862Z,45
2023-12-17T03:10:18.866476266Z,33
2023-12-17T03:10:29.200185058Z,35
2023-12-17T03:10:39.554369167Z,36
2023-12-17T03:10:49.853437733Z,51
2023-12-17T03:11:00.174690797Z,15
2023-12-17T03:11:10.499576192Z,58
2023-12-17T03:11:20.647295006Z,30
2023-12-17T03:11:30.745101579Z,57
2023-12-17T03:11:41.093674597Z,28
2023-12-17T03:11:51.262632505Z,41
2023-12-17T03:12:01.598308094Z,57
2023-12-17T03:12:11.902240278Z,64
2023-12-17T03:12:22.238709076Z,40
2023-12-17T03:12:32.354760062Z,29
2023-12-17T03:12:42.508851417Z,29
2023-12-17T03:12:52.67007828Z,23
2023-12-17T03:13:02.869009929Z,19
2023-12-17T03:13:13.233304926Z,27
2023-12-17T03:13:23.561458734Z,41
2023-12-17T03:13:33.731395539Z,44
2023-12-17T03:13:44.074724003Z,38
